ID,Site Name,Forest,County,"Elevation(Feet)",Latitude,Longitude,"Township,Range,Section,Meridian",USGS 7.5 min. map,Photographer,Taken On,imgOriginal,imgRecreated
137,Burley Mtn,Gifford Pinchot,"Lewis, WA",5304,46.40726,121.865224,T11N_R7E_S25_WM,"Tower Rock, WA",G.B.C.,7/12/1934,,
138,Burnt Granite,Mt. Hood,"Clackamas, OR",5045,44.993415,121.9596,T7S_R7E_S4_WM,"Mount Lowe, OR",SARLIN,6/29/1934,,
139,Burnt Hill,Olympic,"Grays Harbor, WA",1258,47.324945,123.867456,T21N_R9W_S7_WM,"Burnt Hill, WA",CLISBY,6/17/1935,,
140,Burnt Pk,Rogue River,"Jackson, OR",3734,42.749475,122.661293,T32S_R1E_S35_WM,"McLeod, OR",RITTENHOUSE,5/11/1934,,
141,Burnt Pk,Gifford Pinchot,"Skamania, WA",4106,46.072485,121.880173,T7N_R7E_S24_WM,"Burnt Peak, WA",_,8/15/1936,,
142,Burnt Rg,Siuslaw,"Yamhill, OR",2940,45.20625,123.704896,T4S_R8W_S20_WM,"Niagara Creek, OR",COOPER,3/10/1934,,
143,Burnt Top Mtn,Willamette,"Lane, OR",6323,44.040515,121.874114,T18S_R7E_S3_WM,"South Sister, OR",MOE,9/7/1933,,
144,Bus Pt,Mt. Hood,"Wasco, OR",3333,45.21092,121.472805,T4S_R11E_S19_WM,"Rock Creek Reservoir, OR",COOPER-MOE,11/7/1933,,
145,Buster Bu,Umpqua,"Lane, OR",3832,43.486945,122.578947,T24S_R2E_S16_WM,"Reynolds Ridge, OR",RITTENHOUSE-BURCHALL,8/24/1933,,
146,Butler Bu,Umpqua,"Douglas, OR",5204,42.88776,122.679221,T31S_R1E_S10_WM,"Butler Butte, OR",SNYDER,7/28/1933,,
147,Buttermilk Bu,Chelan,"Okanogan, WA",5471,48.300875,120.310185,T32N_R20E_S2_WM,"Hoodoo Peak, WA",R.L.C.,9/2/1934,,
148,Buzzard Bu,Siuslaw,"Tillamook, OR",1684,45.277605,123.877851,T3S_R10W_S26_WM,"Sand Lake, OR",_,9/24/1936,,
149,Byrd Pt,Wenatchee,"Chelan, WA",3755,47.7643,120.269193,T26N_R20E_S12_WM,"Baldy Mountain, WA",CLISBY,10/3/1935,,
150,Cache Mtn,Deschutes,"Deschutes, OR",5579,44.38062,121.780093,T14S_R8E_S4_WM,"Three Fingered Jack, OR",COOPER-ARNST,9/10/1933,,
151,Cady Pt,Mt. Baker,"Whatcom, WA",6542,48.73515,120.795564,T37N_R17E_S6_WM,"Azurite Peak, WA",WERNSTEDT,8/11/1935,,
152,Calamity Bu,Malheur,"Harney, OR",6695,43.928705,118.825413,T19S_R32E_S13_WM,"Calamity Butte, OR",OSBORNE,10/9/1935,,
153,Calimus Bu,Rogue River,"Klamath, OR",6622,42.631315,121.558906,T34S_R10E_S8_WM,"Calimus Butte, OR",COOPER,8/27/1933,,
154,Callahan,Umpqua,"Douglas, OR",2930,42.90303,122.964412,T31S_R2W_S5_WM,"Tiller, OR",MOE-RITTENHOUSE,8/15/1933,,
155,Calquehoun,Snoqualmie,"King, WA",5173,47.128885,121.460895,T19N_R11E_S18_WM,"Lester, WA",_,7/12/1938,,
156,Camp Two,Rogue River,"Jackson, OR",3300,42.490595,122.394881,T35S_R4E_S30_WM,"Willow Lake, OR",SNYDER-ARNST,5/9/1934,,
157,Cannibal,Siuslaw,"Lincoln, OR",1946,44.348375,123.886036,T14S_R10W_S15_WM,"Cannibal Mountain, OR",_,9/18/1936,,
158,Canyon Bu,Umatilla,"Umatilla, OR",4472,45.569065,118.289128,T1N_R36E_S15_WM,"Duncan, OR",_,7/13/1937,,
159,Canyon Pk,Siskiyou,"Curry, OR",4916,42.193635,123.821023,T39S_R10W_S12_WM,"Josephine Mountain, OR",_,9/7/1936,,
160,Cape Mtn,Siuslaw,"Lane, OR",1469,44.096915,124.074853,T17S_R12W_S13_WM,"Mercer Lake, OR",HOAGLUND,3/13/1934,,
161,Carne,Wenatchee,"Chelan, WA",7085,48.087605,120.802261,T30N_R16E_S24_WM,"Trinity, WA",R.L.C.,8/20/1934,,
162,Carpenter Mtn,Willamette,"Linn, OR",5349,44.280995,122.143477,T15S_R6E_S7_WM,"Carpenter Mountain, OR",MOE-SARLIN,9/11/1933,,
163,Castle Rock,Willamette,"Lane, OR",3808,44.15116,122.211615,T16S_R5E_S28_WM,"McKenzie Bridge, OR",MOE-SARLIN,8/26/1933,,
164,Cedar Bu,Tillamook Burn,"Tillamook, OR",2907,45.59035,123.646651,T1N_R8W_S10_WM,"Cedar Butte, OR",S.L.M.,9/1/1936,,
165,Cedar Pt,Siskiyou,"Curry, OR",4100,42.04955,123.842427,T40S_R10W_S35_WM,"Buckskin Peak, OR",_,9/5/1936,,
166,Chase Mtn,Rogue River,"Klamath, OR",6349,42.094205,121.993952,T40S_R7E_S16_WM,"Hamaker Mountain, OR",W.B.O.,11/11/1929,,
167,Chelan Bu,Chelan,"Chelan, WA",3835,47.8072,120.034175,T27N_R22E_S26_WM,"Chelan, WA",_,7/27/1937,,
168,Chetco Pk,Siskiyou,"Curry, OR",4657,42.13573,123.941996,T39S_R11W_S36_WM,"Chetco Peak, OR",_,6/26/1937,,
169,Chicken Hill,Whitman,"Grant, OR",6989,44.98812,118.356254,T7S_R36E_S6_WM,"Crawfish Lake, OR",ARNST,10/1/1935,,
170,Chilcoot,Umpqua,"Douglas, OR",4986,43.43178,122.730883,T25S_R1E_S6_WM,"Chilcoot Mountain, OR",SARLIN-MOE,8/22/1933,,
171,Chiliwist Bu,Chelan,"Okanogan, WA",3071,48.298855,119.738679,T32N_R25E_S6_WM,"Malott, WA",R.L.C.,9/6/1934,,
172,Chimney Peak,Willamette,"Linn, OR",4965,44.53377,122.247657,T12S_R5E_S8_WM,"Chimney Peak, OR",SNYDER,9/8/1933,,
173,Chinidere,Mt. Hood,"Hood River, OR",4673,45.58604,121.811715,T1N_R8E_S10_WM,"Wahtum Lake, OR",COOPER,6/20/1934,,
174,Chinquapin,Siuslaw,"Lincoln, OR",1100,44.5384,123.655905,T12S_R8W_S10_WM,"Harlan, OR",_,9/16/1936,,
175,Chrome Rg,Siskiyou,"Josephine, OR",4581,42.492767,123.718829,T35S_R9W_S25_WM,"Chrome Ridge, OR",_,8/26/1936,,
176,Chumstick Mtn,Wenatchee,"Chelan, WA",5810,47.650305,120.450836,T25N_R19E_S22_WM,"Chumstick Mountain, WA",R.R.S.,8/17/1934,,
177,Church Mtn,Mt. Baker,"Whatcom, WA",6315,48.92807,121.882444,T40N_R7E_S27_WM,"Glacier, WA",_,9/28/1936,,
178,Cinder Pr,Umpqua,"Douglas, OR",5424,43.347805,122.424762,T25.5S_R3E_S35_WM,"Toketee Falls, OR",COOPER-MOE,7/31/1933,,
179,Cinnabar Pt,Rogue River,"Jackson, OR",3918,42.13127,123.006766,T39S_R3W_S36_WM,"Ruch, OR",_,8/10/1936,,
180,Cinnamon Bu,Umpqua,"Douglas, OR",6417,43.240605,122.109494,T27S_R6E_S9_WM,"Mount Thielsen, OR",_,8/19/1936,,
181,Circle Pk,Mt. Baker,"Snohomish, WA",5983,48.22026,121.322094,T32N_R11E_S36_WM,"Pugh Mountain, WA",CLISBY,9/18/1935,,
182,Cispus,Gifford Pinchot,"Yakima, WA",5856,46.471551,121.716772,T11N_R9E_S5_WM,"Walupt Lake, WA",_,1/1/1929,,
183,Clayton,Umpqua,"Douglas, OR",3122,43.04985,122.800755,T29S_R1W_S14_WM,"Dumont Creek, OR",_,7/8/1938,,
184,Clear Cr. Bu,Gifford Pinchot,"Skamania, WA",3400,46.186886,121.990601,T8N_R7E_S19_WM,"Spencer Butte, WA",_,8/14/1936,,
185,Clear Lake Bu,Mt. Hood,"Wasco, OR",4458,45.156675,121.718866,T5S_R9E_S7_WM,"Wapinitia Pass, OR",SARLIN-ARNST,10/23/1933,,
186,Clear West,Snoqualmie,"Pierce, WA",5644,47.012035,121.72723,T18N_R8E_S25_WM,"Clear West Peak, WA",G.B.C.,8/11/1934,,
187,Clearwater,Umatilla,"Garfield, WA",5658,46.20285,117.57511,T8N_R42E_S5_WM,"Stentz Spring, WA",ARNST,8/6/1935,,
188,Cleopatra Pt,Siskiyou,"Curry, OR",3424,42.01458,123.919748,T41S_R10W_S7_WM,"Biscuit Hill, OR",_,9/5/1936,,
189,Cloudy Pk,Chelan,"Chelan, WA",6438,48.202,120.92552,T31N_R15E_S12_WM,"Suiattle Pass, WA",J.D.R.,9/24/1934,,
190,Clover Spr,Snoqualmie,"Yakima, WA",6351,46.87011,121.199745,T16N_R13E_S15_WM,"Timberwolf Mountain, WA",COOPER,7/31/1936,,
191,Coffin Mtn,Willamette,"Linn, OR",5770,44.62118,122.043859,T11S_R6E_S14_WM,"Coffin Mountain, OR",COOPER,5/18/1934,,
192,Cold Spr,Wallowa,"Wallowa, OR",5400,45.8972,116.9644,T5N_R47E_S20_WM,"Jim Creek Butte, OR",ARNST,8/17/1935,,
193,Cold Spr,Wallowa,"Idaho, ID",6927,45.50101,116.450942,T25N_R1W_S15_BM,"Kirkwood Creek, ID",ARNST,9/25/1935,,
194,Coldwater Pk,Gifford Pinchot,"Skamania, WA",5727,46.299505,122.181582,T10N_R5E_S33_WM,"Spirit Lake West, WA",_,10/7/1937,,
195,Colgrove Bu,Siskiyou,"Curry, OR",1881,42.19884,124.315193,T39S_R14W_S13_WM,"Carpenterville, OR",RITTENHOUSE-ARNST,4/4/1934,,
196,Collawash Mtn,Mt. Hood,"Marion, OR",4937,44.82345,121.945003,T9S_R7E_S3_WM,"Breitenbush Hot Springs, OR",SARLIN,6/24/1934,,
197,Collins,Umpqua,"Douglas, OR",3670,42.98627,122.79483,T30S_R1W_S1_WM,"Pickett Butte, OR",MOE-RITTENHOUSE,8/17/1933,,
198,Colman Pt,Fremont,"Lake, OR",6892,42.4478,120.717076,T36S_R17E_S16_WM,"Coleman Point, OR",_,8/16/1936,,
199,Colonel Bob,Olympic,"Grays Harbor, WA",4490,47.48818,123.745722,T23N_R8W_S7_WM,"Colonel Bob, WA",_,7/23/1937,,
200,Colonnade,Snoqualmie,"Pierce, WA",6718,46.865045,121.866657,T16N_R8E_S19_WM,"Mount Rainier West, WA",_,8/4/1934,,
201,Cook Cr. Tree,Olympic,"Grays Harbor, WA",264,47.371745,124.04479,T22N_R11W_S26_WM,"Macafee Hill, WA",CLISBY,6/18/1935,,
202,Cooper Mtn,Chelan,"Okanogan, WA",5867,48.01104,120.083643,T29N_R22E_S16_WM,"Cooper Mountain, WA",A.A.,8/30/1934,,
203,Cooper Spur,Mt. Hood,"Hood River, OR",8514,45.376615,121.675341,T2S_R9E_S23_WM,"Mount Hood North, OR",_,8/9/1936,,
204,Copper Mtn,Mt. Baker,"Whatcom, WA",6265,48.908225,121.462153,T40N_R10E_S35_WM,"Copper Mountain, WA",WERNSTEDT,9/25/1935,,
205,Cornucopia,Whitman,"Baker, OR",8650,45.02015,117.238737,T6S_R45E_S29_WM,"Cornucopia, OR",ARNST,9/12/1935,,
206,Corral Bu,Chelan,"Okanogan, WA",6850,48.82292,119.94356,T38N_R23E_S3_WM,"Corral Butte, WA",A.A.,9/10/1934,,
207,Cougar Bu,Ochoco,"Crook, OR",5797,44.51253,120.410899,T12S_R19E_S23_WM,"Stephenson Mountain, OR",_,8/24/1936,,
208,Cougar Mtn,Siuslaw,"Lincoln, OR",1872,44.95488,123.862862,T7S_R10W_S24_WM,"Stott Mountain, OR",COOPER,3/12/1934,,
209,Cougar Mtn,Wenatchee,"Chelan, WA",6701,47.891085,120.580474,T28N_R18E_S28_WM,"Silver Falls, WA",R.R.S.,9/17/1934,,
210,Cougar Pk,Fremont,"Lake, OR",7919,42.30729,120.630791,T38S_R18E_S6_WM,"Cougar Peak, OR",SNYDER,7/7/1933,,
211,Cougar Rg,Wenatchee,"Chelan, WA",5400,47.838989,120.554548,T27N_R18E_S14_WM,"Sugarloaf Peak, WA",R.R.S.,9/19/1934,,
212,Cougar Rock,Gifford Pinchot,"Skamania, WA",4140,45.842035,122.092715,T4N_R6E_S8_WM,"Lookout Mountain, WA",REINHARDT,7/8/1941,,
213,Council Bluff,Gifford Pinchot,"Skamania, WA",5180,46.27154,121.637416,T9N_R9E_S13_WM,"East Canyon Ridge, WA",J.D.R.,7/26/1934,,
214,Coyote,Umpqua,"Douglas, OR",3093,43.00353,122.709254,T29S_R1E_S32_WM,"Acker Rock, OR",_,8/6/1936,,
215,Crater Mtn,Mt. Baker,"Whatcom, WA",8128,48.73904,120.919847,T38N_R14E_S36_WM,"Crater Mountain, WA",WERNSTEDT,8/9/1935,,
216,Crescent Mtn,Willamette,"Linn, OR",5750,44.44645,122.092344,T13S_R6E_S16_WM,"Echo Mountain, OR",SNYDER,8/15/1933,,
217,Crockett Nob,Whitman,"Grant, OR",4790,44.69863,118.750476,T10S_R33E_S16_WM,"Boulder Butte, OR",_,6/24/1938,,
218,Cultus Mtn,Deschutes,"Deschutes, OR",6759,43.818975,121.87026,T20S_R7E_S22_WM,"Crane Prairie Reservoir, OR",ARNST,10/26/1935,,
219,Cummins,Siuslaw,"Lane, OR",2475,44.235285,123.992342,T15S_R11W_S27_WM,"Cummins Peak, OR",COOPER,4/11/1934,,
220,Dairy Pt,Fremont,"Lake, OR",5652,42.47143,120.641759,T36S_R18E_S6_WM,"Coleman Point, OR",SARLIN-SNYDER,5/14/1934,,
221,Dalton Ranch,Whitman,"Baker, OR",3300,44.9875,117.9222,T7S_R39E_S3_WM,"Haines, OR",_,9/9/1936,,
222,Darland Mtn,Snoqualmie,"Yakima, WA",6981,46.513585,121.209477,T12N_R13E_S20_WM,"Darland Mountain, WA",R.R.,10/6/1934,,
223,Darrington R.S.,Mt. Baker,"Snohomish, WA",549,48.260595,121.602463,T32N_R9E_S14_WM,"Darrington, WA",CLISBY,7/26/1935,,
224,Davis Mt,Deschutes,"Deschutes, OR",6625,43.629175,121.766532,T22S_R8E_S33_WM,"Davis Mountain, OR",HUNTER,1/8/1934,,
225,Davis Mtn,Wenatchee,"Kittitas, WA",6426,47.447605,121.078165,T23N_R14E_S17_WM,"Davis Peak, WA",J.D.R.,8/20/1934,,
226,Dead Indian,Fremont,"Lake, OR",7066,42.98342,120.829038,T30S_R16E_S9_WM,"Summer Lake, OR",ARNST,10/28/1935,,
227,Dead Mtn,Willamette,"Lane, OR",3641,43.77415,122.405678,T21S_R3E_S1_WM,"Westfir East, OR",BIRCHALL-RITTENHOUSE,9/7/1933,,
228,Deadman Pt,Whitman,"Wallowa, OR",8000,45.08739,117.116419,T5S_R46E_S32_WM,"Deadman Point, OR",ARNST,9/14/1935,,
229,Dean Mtn,Siuslaw,"Douglas, OR",1819,43.614295,123.979667,T22S_R11W_S35_WM,"Elk Peak, OR",COOPER,4/17/1934,,
230,Dear Bu,Deschutes,"Klamath, OR",5454,43.2089,121.857205,T27S_R7E_S26_WM,"Chemult, OR",_,8/18/1936,,
231,Dear Park,Olympic,"Clallam, WA",6007,47.954505,123.259009,T28N_R5W_S_WM,"Maiden Peak, WA",CLISBY,6/21/1935,,
232,Deer Butte,Willamette,"Lane, OR",5298,44.18012,121.930014,T16S_R7E_S14_WM,"Linton Lake, OR",COOPER-SARLIN-ARNST,9/8/1933,,
233,Desolation Bu,Whitman,"Grant, OR",7028,44.8506,118.664242,T8S_R34E_S30_WM,"Desolation Butte, OR",ARNST,10/10/1935,,
234,Desolation Pk,Mt. Baker,"Whatcom, WA",6102,48.911025,121.015916,T40N_R14E_S32_WM,"Hozomeen Mountain, WA",WERNSTEDT,8/2/1935,,
235,Devils Dome,Mt. Baker,"Whatcom, WA",6982,48.82366,120.916299,T39N_R14E_S36_WM,"Jack Mountain, WA",WERNSTEDT,8/7/1935,,
236,Devils Knob,Umpqua,"Douglas, OR",4900,42.862005,122.786591,T31S_R1W_S23_WM,"Ragsdale Butte, OR",MOE-RITTENHOUSE,8/17/1933,,
237,Devils Pk,Mt. Hood,"Clackamas, OR",5045,45.264175,121.875615,T3S_R8E_S31_WM,"Government Camp, OR",COOPER-MOE,11/8/1933,,
238,Devils Pk,Rogue River,"Klamath, OR",7582,42.642715,122.213345,T34S_R5E_S3_WM,"Devils Peak, OR",MOE-RITTENHOUSE,7/28/1933,,
239,Diamond Gap,Gifford Pinchot,"Klickitat, WA",3010,45.91512,121.341117,T5N_R12E_S17_WM,"Camas Prairie, WA",REINHARDT,1/16/1941,,
240,Diamond Pk,Umatilla,"Garfield, WA",6379,46.115465,117.539793,T7N_R42E_S3_WM,"Diamond Peak, WA",ARNST,8/6/1935,,
241,Diamond Pt,Chelan,"Okanogan, WA",7916,48.882035,120.303526,T39N_R20E_S14_WM,"Ashnola Pass, WA",R.L.C.,9/17/1934,,
242,Diamond Rk,Umpqua,"Douglas, OR",4200,42.80538,122.919336,T32S_R2W_S10_WM,"Richter Mountain, OR",SNYDER-SARLIN,7/25/1933,,
243,Dirty Face,Wenatchee,"Chelan, WA",5989,47.85535,120.798771,T27N_R16E_S3_WM,"Lake Wenatchee, WA",R.L.C.,8/19/1934,,
244,Dixie Bu,Whitman,"Grant, OR",7592,44.58289,118.626579,T11S_R34E_S28_WM,"Dixie Meadows, OR",ARNST,10/12/1935,,
245,Dock Bu,Mt. Baker,"Skagit, WA",5239,48.639115,121.806145,T36N_R8E_S5_WM,"Baker Pass, WA",WERNSTEDT,9/18/1935,,
246,Dodger Point,Olympic,"Clallam, WA",5753,47.873905,123.509575,T28N_R7W_S_WM,"Mount Queets, WA",L.MOE,7/26/1936,,
247,Doe Mtn,Chelan,"Okanogan, WA",7154,48.724955,120.187532,T37N_R21E_S11_WM,"Doe Mountain, WA",_,7/25/1936,,
248,Dog Mtn,Fremont,"Lake, OR",6935,42.1186,120.718164,T40S_R17E_S9_WM,"Dog Lake, OR",COOPER,7/5/1933,,
249,Dog Mtn,Gifford Pinchot,"Skamania, WA",2503,45.712545,121.699009,T3N_R9E_S29_WM,"Mount Defiance, WA",_,7/8/1937,,
250,Dog Mtn. Summit,Gifford Pinchot,"Skamania, WA",2948,45.716775,121.700749,T3N_R9E_S29_WM,"Mount Defiance, WA",W.B.O.,6/1/1929,,
251,Dog Pr,Umpqua,"Douglas, OR",6000,43.18661,122.280551,T27S_R4E_S25_WM,"Garwood Butte, OR",SARLIN,8/1/1933,,
252,Dollarwatch Mtn,Chelan,"Okanogan, WA",7679,48.89544,120.407332,T39N_R20E_S7_WM,"Ashnola Mountain, WA",R.L.C.,9/18/1934,,
253,Dome Rk N,Willamette,"Marion, OR",4859,44.75253,122.208031,T9S_R5E_S33_WM,"Battle Ax, OR",MOE-RITTENHOUSE,10/2/1933,,
254,Dome Rk S,Willamette,"Lane, OR",5740,43.45152,122.402246,T24S_R3E_S36_WM,"Staley Ridge, OR",SARLIN,6/15/1934,,
255,Domke Mtn,Chelan,"Chelan, WA",4067,48.177125,120.564956,T31N_R18E_S23_WM,"Lucerne, WA",R.R.S.,9/25/1934,,
256,Dooley Mtn,Whitman,"Baker, OR",6668,44.573789,117.893454,T11S_R39E_S26_WM,"Dooley Mountain, OR",ARNST,10/7/1935,,
257,Drake Bu,Ochoco,"Crook, OR",6246,44.043165,120.375053,T18S_R20E_S6_WM,"Drake Butte, OR",R.L.C.,10/15/1934,,
258,Drake Pk,Fremont,"Lake, OR",8222,42.300435,120.157541,T38S_R22E_S5_WM,"Drake Peak, OR",SARLIN-RITTENHOUSE,5/19/1934,,
259,Driveway Bu,Chelan,"Okanogan, WA",5982,48.634245,120.532517,T36N_R19E_S7_WM,"Robinson Mountain, WA",G.B.C.,9/3/1934,,
260,Dry Cr,Gifford Pinchot,"Lewis, WA",3815,46.543615,121.71055,T12N_R9E_S8_WM,"Packwood, WA",_,8/19/1936,,
261,Dry Diggins,Wallowa,"Idaho, ID",7828,45.37062,116.588556,T24N_R2W_S33_BM,"He Devil, ID",ARNST,9/22/1935,,
262,Dry Lk. Mtn,Rogue River,"Siskiyou, CA",6775,41.9074,122.940472,T47N_R9W_S19_MDM,"Condrey Mountain , CA",BIRCHALL,7/21/1933,,
263,Dry Mtn,Ochoco,"Harney, OR",6283,43.67212,119.563779,T22S_R26E_S11_WM,"Dry Mountain, OR",R.R.S.,10/25/1934,,
264,Dufer R.S.,Mt. Hood,"Wasco, OR",1400,45.45675,121.12391,T1S_R13E_S25_WM,"Dufur East, OR",COOPER,6/30/1934,,
265,Dugout Mtn,Colville,"Okanogan, WA",5364,48.497365,118.960843,T35N_R31E_S29_WM,"Strawberry Mountain, WA",A.A.,9/15/1934,,
266,Duncan Hill,Wenatchee,"Chelan, WA",7819,48.054175,120.653308,T30N_R18E_S31_WM,"Saska Peak, WA",R.R.S.,9/6/1934,,
267,Dutchman Bu,Siskiyou,"Douglas, OR",3907,42.866295,123.659821,T31S_R8W_S19_WM,"Dutchman Butte, OR",RITTENHOUSE,6/11/1934,,
268,Dutchman Pk,Rogue River,"Jackson, OR",7417,42.043495,122.891569,T40S_R2W_S36_WM,"Dutchman Peak, OR",_,3/28/1929,,
269,Eagle Cr,Clackamas-Marion FPA,"Clackamas, OR",2720,45.30702,122.114518,T3S_R6E_S18_WM,"Wildcat Mountain, OR",SNYDER,3/20/1934,,
270,Eagle Cr Rg,Mt. Hood,"Clackamas, OR",2720,45.30729,122.11471,T3S_R6E_S18_WM,"Wildcat Mountain, OR",SNYDER,3/20/1934,,
271,Eagles Rest,Willamette,"Lane, OR",3022,43.846585,122.747386,T20S_R1W_S12_WM,"Mount June, OR",COOPER,6/11/1934,,
272,Eagle Rock,Willamette,"Marion, OR",4100,44.77708,122.044004,T9S_R6E_S26_WM,"Mother Lode Mountain, OR",COOPER-SARLIN,10/2/1933,,
273,East Bu,Deschutes,"Deschutes, OR",6431,43.66727,120.995766,T22S_R14E_S13_WM,"Firestone Butte, OR",MOE,6/23/1933,,
274,Easton Rg,Wenatchee,"Kittitas, WA",3731,47.237315,121.116072,T20N_R14E_S9_WM,"Ronald, WA",CLISBY,10/5/1935,,
275,Easy Rg,Mt. Baker,"Whatcom, WA",5640,48.89615,121.431349,T39N_R11E_S6_WM,"Mount Blum, WA",WERNSTEDT,9/26/1935,,
276,Edgar Pk,Snoqualmie,"Yakima, WA",3700,46.92907,121.059127,T17N_R14E_S26_WM,"Cliffdell, WA",R.R.S.,7/16/1934,,
277,Elbow Pk,Wenatchee,"Kittitas, WA",5673,47.339835,121.013765,T21N_R15E_S6_WM,"Cle Elum Lake, WA",R.L.C.,8/30/1934,,
278,Elephant Mtn,Umpqua,"Douglas, OR",5868,43.280792,122.227262,T26S_R5E_S21_WM,"Lemolo Lake, OR",_,8/19/1936,,
279,Elk Mtn,Mt. Hood,"Hood River, OR",5608,45.33574,121.611004,T3S_R9E_S1_WM,"Badger Lake, OR",MOE-COOPER,11/5/1933,,
280,Elk Mtn,Wallowa,"Wallowa, OR",5122,45.598145,117.205343,T1N_R45E_S4_WM,"Elk Mountain, OR",ARNST,8/15/1935,,
281,Emerson Pt,Siuslaw,"Douglas, OR",610,43.798647,123.782731,T20S_R9W_S33_WM,"Smith River Falls, OR",_,8/20/1938,,
282,Emigrant Bu,Willamette,"Lane, OR",6464,43.447335,122.152634,T24S_R5E_S36_WM,"Emigrant Butte, OR",SARLIN-ARNST,6/16/1934,,
283,Emigrant Bu,Ochoco,"Harney, OR",5390,43.75884,119.454359,T21S_R27E_S11_WM,"Bear Canyon Butte, OR",J.D.R.,10/25/1934,,
284,Estes Bu,Wenatchee,"Chelan, WA",5942,48.018623,120.792305,T29N_R16E_S24_WM,"Schaefer Lake, WA",R.L.C.,8/23/1934,,
285,Evergreen Mtn,Snoqualmie,"Snohomish, WA",5587,47.83634,121.263537,T27N_R12E_S16_WM,"Evergreen Mountain, WA",R.L.C.,8/14/1934,,
286,Excelsior Pt,Mt. Baker,"Whatcom, WA",5712,48.934655,121.789679,T40N_R8E_S20_WM,"Bearpaw Mountain, WA",CLISBY,9/29/1935,,
287,Fairchild,Wallowa,"Wallowa, OR",5351,45.83214,116.977156,T4N_R47E_S17_WM,"Poison Point, OR",ARNST,8/16/1935,,
288,Fairview Mtn,Umpqua,"Lane, OR",5933,43.585395,122.652708,T23S_R1E_S11_WM,"Fairview Peak, OR",_,7/18/1937,,
289,Fern Top,Siuslaw,"Douglas, OR",1896,43.71029,123.789005,T21S_R9W_S29_WM,"Scottsburg, OR",_,8/19/1938,,
290,Finley Bu. 1934,Deschutes,"Deschutes, OR",4748,43.65007,121.429419,T22S_R11E_S20_WM,"Finley Butte, OR",SARLIN-ARNST,6/15/1934,,
291,Finley Bu. 1938,Deschutes,"Deschutes, OR",4748,43.65007,121.429419,T22S_R11E_S20_WM,"Finley Butte, OR",_,6/28/1938,,
292,Finney Pt,Mt. Baker,"Skagit, WA",5083,48.380485,121.745284,T33N_R8E_S2_WM,"Finney Peak, WA",CLISBY,8/29/1935,,
293,Fir Mtn,Colville,"Okanogan, WA",5687,48.665705,118.935003,T37N_R31E_S32_WM,"Wauconda Summit, WA",JBH,10/31/1930,,
294,First Bu,Chelan,"Okanogan, WA",5491,48.61916,120.109746,T36N_R22E_S17_WM,"Pearrygin Peak, WA",W.B.O.,10/19/1930,,
295,Fish Cr. Mtn,Mt. Hood,"Clackamas, OR",5100,45.078555,122.125257,T6S_R6E_S6_WM,"Fish Creek Mountain, OR",SARLIN,7/5/1934,,
296,Fish Lk,Wenatchee,"Kittitas, WA",3480,47.521238,121.068537,T24N_R14E_S34_WM,"The Cradle, WA",J.D.R.,8/16/1934,,
297,Fishhook Mtn,Siskiyou,"Curry, OR",5030,42.531385,123.911588,T35S_R10W_S17_WM,"Brandy Peak, OR",SARLIN,5/10/1934,,
298,Fitzwater Pt,Fremont,"Lake, OR",6407,42.022155,120.589145,T41S_R18E_S10_WM,"Fitzwater Point, OR",_,8/15/1936,,
299,Five Mile Pt,Mt. Hood,"Wasco, OR",4627,45.40979,121.468269,T2S_R11E_S7_WM,"Fivemile Butte, OR",SNYDER,11/11/1933,,
300,Flag Pt,Mt. Hood,"Wasco, OR",5651,45.317695,121.466244,T3S_R11E_S7_WM,"Flag Point, OR",COOPER-SARLIN,10/10/1933,,
301,Flagstaff,Whitman,"Union, OR",6511,45.079835,117.516928,T5S_R42E_S36_WM,"Flagstaff Butte, OR",ARNST,9/8/1935,,
302,Flagtail E. Pt,Malheur,"Grant, OR",6582,44.18628,119.281206,T16S_R29E_S18_WM,"Flagtail Mountain, OR",OSBORNE,10/1/1935,,
303,Flat Lk,Umatilla,"Union, OR",4746,45.3575,118.420329,T2S_R35E_S27_WM,"McIntyre Creek, OR",ARNST,7/26/1935,,
304,Flat Rk,Umpqua,"Douglas, OR",5310,43.18556,122.718179,T27S_R1E_S29_WM,"Quartz Mountain, OR",_,7/15/1938,,
305,Flattop Mtn,Gifford Pinchot,"Skamania, WA",4392,46.0274,121.6118,T6N_R9E_S12_WM,"Trout Lake, WA",_,8/12/1936,,
306,Flower Dome,Mt. Baker,"Snohomish, WA",6332,48.14592,120.976291,T31N_R15E_S34_WM,"Suiattle Pass, WA",CLISBY,9/10/1935,,
307,Fly Lake,Deschutes,"Jefferson, OR",3050,44.53631,121.433267,T12S_R11E_S17_WM,"Fly Creek, OR",_,7/12/1941,,
308,Foley Bu,Ochoco,"Crook, OR",5484,44.52705,120.784973,T12S_R16E_S14_WM,"Foley Butte, OR",R.L.C.,10/14/1934,,
309,Foot Hills,Olympic,"Clallam, WA",2415,48.05564,123.474344,T30N_R6W_S32_WM,"Port Angeles, WA",CLISBY,6/20/1935,,
310,Formans Pt,Mt. Hood,"Wasco, OR",3498,45.08696,121.4,T5S_R11E_S34_WM,"Foreman Point, OR",SNYDER,3/21/1934,,
